标题,作者,赞同,原文链接,正文相关度分,严格小学相关度分,本地Markdown
如何看待北京海淀万柳顶级学区房降价 400 万没人买？,云上观房,3,https://www.zhihu.com/question/489895211/answer/55420187855,17,16,output/zhihu_chaoyang/markdown/1101-如何看待北京海淀万柳顶级学区房降价-400-万没人买？-55420187855.md
北京没有学区的老破小还能买吗?,厚积薄发,3,https://www.zhihu.com/question/471640553/answer/1993187554,17,16,output/zhihu_chaoyang/markdown/1305-北京没有学区的老破小还能买吗-1993187554.md
在北京选择国际学校读书好不好？北京都有哪些国际学校呢？,留学生Amy,1,https://www.zhihu.com/question/576887726/answer/2830460213,17,16,output/zhihu_chaoyang/markdown/1427-在北京选择国际学校读书好不好？北京都有哪些国际学校呢？-2830460213.md
孩子在北京上小学和中学，所谓好学区和好学校真有那么重要吗？,混不吝青年,235,https://www.zhihu.com/question/19569694/answer/124248724,16,16,output/zhihu_chaoyang/markdown/717-孩子在北京上小学和中学，所谓好学区和好学校真有那么重要吗？-124248724.md
2020年，北京有哪些学区房值得推荐？,我叫小博,166,https://www.zhihu.com/question/376235967/answer/1066821614,16,16,output/zhihu_chaoyang/markdown/793-2020年，北京有哪些学区房值得推荐？-1066821614.md
北京朝阳区两名小学教师违反师德，工作组进驻学校调查，该事件将如何解决？,水北天南,27,https://www.zhihu.com/question/509347418/answer/2294402289,16,16,output/zhihu_chaoyang/markdown/369-北京朝阳区两名小学教师违反师德，工作组进驻学校调查，该事件将如何解决？-2294402289.md
怎么看待北京朝阳区的老破小降到100多万这件事？,Float,2,https://www.zhihu.com/question/1946900231301099666/answer/1950643533955446221,16,16,output/zhihu_chaoyang/markdown/570-怎么看待北京朝阳区的老破小降到100多万这件事？-1950643533955446221.md
目前住在东坝北京中学旁边的小区，是否要换到东城或者西城的小学区房？,球球智,1,https://www.zhihu.com/question/540050390/answer/2548470457,16,16,output/zhihu_chaoyang/markdown/435-目前住在东坝北京中学旁边的小区，是否要换到东城或者西城的小学区房？-2548470457.md
朝阳第二实验小学一事你怎么看？,璎珞圈,0,https://www.zhihu.com/question/509379681/answer/2298631389,16,16,output/zhihu_chaoyang/markdown/1059-朝阳第二实验小学一事你怎么看？-2298631389.md
朝阳第二实验小学一事你怎么看？,甜小兮淡定育儿,92,https://www.zhihu.com/question/509379681/answer/2294757517,15,16,output/zhihu_chaoyang/markdown/904-朝阳第二实验小学一事你怎么看？-2294757517.md
某大v公众号关于北京学区房走势的判断，大家怎么看？,李慕白加班,3,https://www.zhihu.com/question/13887681212/answer/115905897892,15,16,output/zhihu_chaoyang/markdown/978-某大v公众号关于北京学区房走势的判断，大家怎么看？-115905897892.md
预算400万占坑，学区房买海淀还是朝阳？,我叫小博,2,https://www.zhihu.com/question/548922572/answer/2638219361,15,16,output/zhihu_chaoyang/markdown/076-预算400万占坑，学区房买海淀还是朝阳？-2638219361.md
谁能分享一下朝阳区八十中小升初的经验？,天津升学侯老师,2,https://www.zhihu.com/question/64802879/answer/2884697524,15,16,output/zhihu_chaoyang/markdown/377-谁能分享一下朝阳区八十中小升初的经验？-2884697524.md
朝阳区小学有比较权威的排名？ 孩子要上学了，看看孩子的小学处在什么水平上？,太阳石精神,1,https://www.zhihu.com/question/29362202/answer/3374095910,15,16,output/zhihu_chaoyang/markdown/242-朝阳区小学有比较权威的排名？-孩子要上学了，看看孩子的小学处在什么水平上？-3374095910.md
北京朝阳京籍有房，幼升小，能通过在朝阳再租房实现换学区吗？,平房四合院租售,1,https://www.zhihu.com/question/621795337/answer/3208948924,15,16,output/zhihu_chaoyang/markdown/530-北京朝阳京籍有房，幼升小，能通过在朝阳再租房实现换学区吗？-3208948924.md
预算500W，小孩还有几年上小学，想在朝阳买个有学区的房子，有推荐的吗？,裸胡,0,https://www.zhihu.com/question/442276841/answer/1708789057,15,16,output/zhihu_chaoyang/markdown/396-预算500W，小孩还有几年上小学，想在朝阳买个有学区的房子，有推荐的吗？-1708789057.md
朝阳区非京籍幼升小，明年上学，有社保但没有居住证可以吗？,我叫小博,0,https://www.zhihu.com/question/7733846939/answer/63795910687,15,16,output/zhihu_chaoyang/markdown/406-朝阳区非京籍幼升小，明年上学，有社保但没有居住证可以吗？-63795910687.md
孩子要上小学，朝阳和东城怎么选？,郝正闯,0,https://www.zhihu.com/question/482255915/answer/2092959227,15,16,output/zhihu_chaoyang/markdown/576-孩子要上小学，朝阳和东城怎么选？-2092959227.md
北京市朝阳区高中排名?,京考升学圈,2,https://www.zhihu.com/question/611177205/answer/3600518562,14,16,output/zhihu_chaoyang/markdown/799-北京市朝阳区高中排名-3600518562.md
北京东城和平里学区的集体户口，是否还有必要买丰台或朝阳的非学区房?,于凌罡,3,https://www.zhihu.com/question/644642728/answer/1980946932886152077,13,16,output/zhihu_chaoyang/markdown/975-北京东城和平里学区的集体户口，是否还有必要买丰台或朝阳的非学区房-1980946932886152077.md
有北京通州户籍和房子，孩子目前外地上一年级，打算四年级回北京，想问一下是换朝阳学区还是通州换个学区？,小斌,1,https://www.zhihu.com/question/639670257/answer/3364868585,13,16,output/zhihu_chaoyang/markdown/753-有北京通州户籍和房子，孩子目前外地上一年级，打算四年级回北京，想问一下是换朝阳学区还是通州换个学区？-3364868585.md
坐标北京海淀，2030年上小学，需要考虑学区房嘛?,正义之剑,1,https://www.zhihu.com/question/1895796895802173129/answer/1949107897637270984,12,16,output/zhihu_chaoyang/markdown/159-坐标北京海淀，2030年上小学，需要考虑学区房嘛-1949107897637270984.md
北京东城和平里学区的集体户口，是否还有必要买丰台或朝阳的非学区房?,我叫小博,1,https://www.zhihu.com/question/644642728/answer/1978289448593670920,12,16,output/zhihu_chaoyang/markdown/987-北京东城和平里学区的集体户口，是否还有必要买丰台或朝阳的非学区房-1978289448593670920.md
人大附中朝阳学校是不是朝阳区值得一选的学区？,雨衣,0,https://www.zhihu.com/question/278451383/answer/806261847,12,16,output/zhihu_chaoyang/markdown/535-人大附中朝阳学校是不是朝阳区值得一选的学区？-806261847.md
北京孩子在外地上学，转学回京，哪些学校可以接收？,私立学校指南,0,https://www.zhihu.com/question/1946260268670747226/answer/1947230914707976473,57,15,output/zhihu_chaoyang/markdown/711-北京孩子在外地上学，转学回京，哪些学校可以接收？-1947230914707976473.md
200W在望京周边的买房攻略？,帮你选房,7,https://www.zhihu.com/question/21634034/answer/251494884,51,15,output/zhihu_chaoyang/markdown/181-200W在望京周边的买房攻略？-251494884.md
2023年，你还会顶着压力在北京买房吗？,汤有为,790,https://www.zhihu.com/question/594166255/answer/2980347173,49,15,output/zhihu_chaoyang/markdown/165-2023年，你还会顶着压力在北京买房吗？-2980347173.md
求指点 2023北京买房建议?,汤有为,5,https://www.zhihu.com/question/581750146/answer/2931376925,49,15,output/zhihu_chaoyang/markdown/649-求指点-2023北京买房建议-2931376925.md
2023年北京买房合适吗？,汤有为,49,https://www.zhihu.com/question/584163600/answer/2904442900,48,15,output/zhihu_chaoyang/markdown/1368-2023年北京买房合适吗？-2904442900.md
2022年北京买房建议？,居者白老师说买房,5,https://www.zhihu.com/question/471726043/answer/2310122880,47,15,output/zhihu_chaoyang/markdown/817-2022年北京买房建议？-2310122880.md
在人大附中朝阳学校就读是怎样的一种体验？,数据控小夏,20,https://www.zhihu.com/question/270728297/answer/2620054587,43,15,output/zhihu_chaoyang/markdown/290-在人大附中朝阳学校就读是怎样的一种体验？-2620054587.md
2023年北京买房投资，哪些片区比较靠谱？,汤有为,17,https://www.zhihu.com/question/577934169/answer/2892941426,41,15,output/zhihu_chaoyang/markdown/255-2023年北京买房投资，哪些片区比较靠谱？-2892941426.md
如果北京的房产不涨了，你还会选择买房吗？,居者老莫讲买房,50,https://www.zhihu.com/question/604406633/answer/3093620438,36,15,output/zhihu_chaoyang/markdown/414-如果北京的房产不涨了，你还会选择买房吗？-3093620438.md
2023年，你还会顶着压力在北京买房吗？,居者老莫讲买房,40,https://www.zhihu.com/question/594166255/answer/3093602214,36,15,output/zhihu_chaoyang/markdown/1286-2023年，你还会顶着压力在北京买房吗？-3093602214.md
北京买房，朝阳北苑和昌平天通苑哪个好?,扎克.球,17,https://www.zhihu.com/question/356844459/answer/1185344642,33,15,output/zhihu_chaoyang/markdown/323-北京买房，朝阳北苑和昌平天通苑哪个好-1185344642.md
朝阳新北苑5万+现房将入市，这房值得买吗？,小志君.小窝新房,1,https://www.zhihu.com/question/2020084631068755362/answer/2027698596045137653,29,15,output/zhihu_chaoyang/markdown/1121-朝阳新北苑5万+现房将入市，这房值得买吗？-2027698596045137653.md
北京幼升小，朝阳海淀？纠结死我了?,我叫小博,0,https://www.zhihu.com/question/471291352/answer/3280049050,26,15,output/zhihu_chaoyang/markdown/757-北京幼升小，朝阳海淀？纠结死我了-3280049050.md
北京朝阳学区选哪个片区?,宇内清宁0426,2,https://www.zhihu.com/question/591524094/answer/3971599605,24,15,output/zhihu_chaoyang/markdown/014-北京朝阳学区选哪个片区-3971599605.md
在北京租房一定可以上小学吗?,北京幼升小,2,https://www.zhihu.com/question/639541822/answer/3371936450,23,15,output/zhihu_chaoyang/markdown/981-在北京租房一定可以上小学吗-3371936450.md
现在太阳宫学区是否是北京最牛学区？,木匠小强,120,https://www.zhihu.com/question/41508085/answer/1298525807,22,15,output/zhihu_chaoyang/markdown/263-现在太阳宫学区是否是北京最牛学区？-1298525807.md
700-800万预算在北京朝阳区三居，哪里合适？,三笠,2,https://www.zhihu.com/question/660060622/answer/3546685642,22,15,output/zhihu_chaoyang/markdown/628-700-800万预算在北京朝阳区三居，哪里合适？-3546685642.md
北京东坝学区与团结湖学区哪个好？ 确切说东坝单店西路和白家庄东里片区哪个小学初中更好点。?,李雨萱 Loraine,1,https://www.zhihu.com/question/449344875/answer/1802401828,21,15,output/zhihu_chaoyang/markdown/356-北京东坝学区与团结湖学区哪个好？-确切说东坝单店西路和白家庄东里片区哪个小学初中更好点。-1802401828.md
预算500-600万在海淀or昌平or朝阳买房？,西西侃房,29,https://www.zhihu.com/question/440504980/answer/2472525574,19,15,output/zhihu_chaoyang/markdown/1038-预算500-600万在海淀or昌平or朝阳买房？-2472525574.md
在北京，300万左右能买什么学区房？,我叫小博,2,https://www.zhihu.com/question/2030023731863605467/answer/2031314832096506777,19,15,output/zhihu_chaoyang/markdown/057-在北京，300万左右能买什么学区房？-2031314832096506777.md
朝阳区在北京市是一种什么样的存在？,AGUAMARINA,68,https://www.zhihu.com/question/31199698/answer/387005699,18,15,output/zhihu_chaoyang/markdown/586-朝阳区在北京市是一种什么样的存在？-387005699.md
北京非东西海的学区房价格能跌到不用卖房子就买得起的地步么？,汤有为,2,https://www.zhihu.com/question/656262550/answer/1974503027940548750,18,15,output/zhihu_chaoyang/markdown/259-北京非东西海的学区房价格能跌到不用卖房子就买得起的地步么？-1974503027940548750.md
在北京500万左右首付可以买到哪些好的学区房？,深度思考,8,https://www.zhihu.com/question/645024124/answer/3403995043,17,15,output/zhihu_chaoyang/markdown/1092-在北京500万左右首付可以买到哪些好的学区房？-3403995043.md
预算800万 朝阳学区房自住 有推荐的吗？,ChatGPT正版,0,https://www.zhihu.com/question/469502426/answer/1975650435,17,15,output/zhihu_chaoyang/markdown/432-预算800万-朝阳学区房自住-有推荐的吗？-1975650435.md
朝阳区在北京市是一种什么样的存在？,有文化的蜣螂君,19,https://www.zhihu.com/question/31199698/answer/1713739448,16,15,output/zhihu_chaoyang/markdown/876-朝阳区在北京市是一种什么样的存在？-1713739448.md
2020 北京学区房求助?,观澜,4,https://www.zhihu.com/question/410652579/answer/1483769796,16,15,output/zhihu_chaoyang/markdown/693-2020-北京学区房求助-1483769796.md
北京朝阳区两名小学教师违反师德，工作组进驻学校调查，该事件将如何解决？,甜小兮淡定育儿,174,https://www.zhihu.com/question/509347418/answer/2293718266,15,15,output/zhihu_chaoyang/markdown/368-北京朝阳区两名小学教师违反师德，工作组进驻学校调查，该事件将如何解决？-2293718266.md
北京市区的小学教学质量和门头沟的质量差距有多大?,魏明,14,https://www.zhihu.com/question/288199867/answer/462807238,15,15,output/zhihu_chaoyang/markdown/1375-北京市区的小学教学质量和门头沟的质量差距有多大-462807238.md
关于孩子北京上小学的问题？,不古杂智社,1,https://www.zhihu.com/question/531691948/answer/69924731822,15,15,output/zhihu_chaoyang/markdown/662-关于孩子北京上小学的问题？-69924731822.md
坐标帝都，家住朝阳，孩子户口在东城，小学是就近在朝阳上还是租房去东城上？,清雨.丽峰,0,https://www.zhihu.com/question/387385230/answer/1150353046,15,15,output/zhihu_chaoyang/markdown/929-坐标帝都，家住朝阳，孩子户口在东城，小学是就近在朝阳上还是租房去东城上？-1150353046.md
朝阳的学区房需要提前6年购买吗？,candy晓文,0,https://www.zhihu.com/question/525044200/answer/2531611970,14,15,output/zhihu_chaoyang/markdown/481-朝阳的学区房需要提前6年购买吗？-2531611970.md
非京籍二胎家庭，想买朝阳学区，该买哪里？,Kylin移居香港,0,https://www.zhihu.com/question/573592690/answer/2857715863,14,15,output/zhihu_chaoyang/markdown/737-非京籍二胎家庭，想买朝阳学区，该买哪里？-2857715863.md
北京朝阳的学区房是不是智商税？,MathLover,10,https://www.zhihu.com/question/419191570/answer/3529882955,13,15,output/zhihu_chaoyang/markdown/205-北京朝阳的学区房是不是智商税？-3529882955.md
在北京，为了孩子上个好学校，高价买学区房真的值得吗？,颜颜如玉,4,https://www.zhihu.com/question/1960310370351691329/answer/1961485320445994634,13,15,output/zhihu_chaoyang/markdown/777-在北京，为了孩子上个好学校，高价买学区房真的值得吗？-1961485320445994634.md
普通朝阳京籍，该考虑哪里的学区房？,啥都懂的小灰,1,https://www.zhihu.com/question/525274663/answer/2418489919,13,15,output/zhihu_chaoyang/markdown/179-普通朝阳京籍，该考虑哪里的学区房？-2418489919.md
北京朝阳区代缴社保，幼升小需要社保单位和劳动合同单位一致，因为社保代缴所以不一致，怎么办？,喂阿伐木累,2,https://www.zhihu.com/question/352733177/answer/875417514,12,15,output/zhihu_chaoyang/markdown/489-北京朝阳区代缴社保，幼升小需要社保单位和劳动合同单位一致，因为社保代缴所以不一致，怎么办？-875417514.md
在北京买学区房，选择东城还是朝阳？,北京余老师,2,https://www.zhihu.com/question/442615235/answer/1724757797,12,15,output/zhihu_chaoyang/markdown/605-在北京买学区房，选择东城还是朝阳？-1724757797.md
现在想办朝阳区工作居住证好办吗？,精品民宿,1,https://www.zhihu.com/question/360412368/answer/931294206,12,15,output/zhihu_chaoyang/markdown/780-现在想办朝阳区工作居住证好办吗？-931294206.md
北京朝阳区两名小学教师违反师德，工作组进驻学校调查，该事件将如何解决？,阿喂望着学酱,0,https://www.zhihu.com/question/509347418/answer/2299572194,12,15,output/zhihu_chaoyang/markdown/371-北京朝阳区两名小学教师违反师德，工作组进驻学校调查，该事件将如何解决？-2299572194.md
海淀区的普通小学跟朝阳的一流二类小学怎么选？,A北京幼升小升初咨询,0,https://www.zhihu.com/question/523352320/answer/2401373512,12,15,output/zhihu_chaoyang/markdown/508-海淀区的普通小学跟朝阳的一流二类小学怎么选？-2401373512.md
孩子要上小学，朝阳和东城怎么选？,鼓楼楠楠,0,https://www.zhihu.com/question/482255915/answer/2346422376,12,15,output/zhihu_chaoyang/markdown/668-孩子要上小学，朝阳和东城怎么选？-2346422376.md
学区房买北京西城东城，还是朝阳？,旋律,0,https://www.zhihu.com/question/463574027/answer/3159927547,12,15,output/zhihu_chaoyang/markdown/855-学区房买北京西城东城，还是朝阳？-3159927547.md
北京买房600预算，刚需求推荐？,汤有为,7,https://www.zhihu.com/question/509880916/answer/2884858053,58,14,output/zhihu_chaoyang/markdown/338-北京买房600预算，刚需求推荐？-2884858053.md
娃北京户口，1-5年级一直在外省读书，现在5年级，想转学回北京上学，如何办理转学手续？,私立学校指南,1,https://www.zhihu.com/question/362784613/answer/3350955881,53,14,output/zhihu_chaoyang/markdown/697-娃北京户口，1-5年级一直在外省读书，现在5年级，想转学回北京上学，如何办理转学手续？-3350955881.md
2021年准备在北京买房，请给些建议？,密斯张,7,https://www.zhihu.com/question/445268117/answer/1999697967,39,14,output/zhihu_chaoyang/markdown/1178-2021年准备在北京买房，请给些建议？-1999697967.md
2023年北京刚需买房求推荐?,我叫小博,3,https://www.zhihu.com/question/562412530/answer/3205494000,36,14,output/zhihu_chaoyang/markdown/292-2023年北京刚需买房求推荐-3205494000.md
为什么北京市朝阳区仍要保留大量乡，不去推进乡改镇工作？,越满天清,24,https://www.zhihu.com/question/606723163/answer/3108843330,35,14,output/zhihu_chaoyang/markdown/499-为什么北京市朝阳区仍要保留大量乡，不去推进乡改镇工作？-3108843330.md
现在在朝阳区上学，可以转学到东城区吗？,私立学校指南,0,https://www.zhihu.com/question/1915813743562039542/answer/1916121160246072970,35,14,output/zhihu_chaoyang/markdown/360-现在在朝阳区上学，可以转学到东城区吗？-1916121160246072970.md
怎么看待北京朝阳区的老破小降到100多万这件事？,凌云,4812,https://www.zhihu.com/question/1946900231301099666/answer/1953819891250468253,31,14,output/zhihu_chaoyang/markdown/110-怎么看待北京朝阳区的老破小降到100多万这件事？-1953819891250468253.md
北京朝阳学区选哪个片区?,临海听风,5,https://www.zhihu.com/question/591524094/answer/1938255892073125482,30,14,output/zhihu_chaoyang/markdown/001-北京朝阳学区选哪个片区-1938255892073125482.md
外地人，因为工作原因想让孩子转学到北京，二年级，有学校接收吗？,私立学校指南,0,https://www.zhihu.com/question/1900884309532999716/answer/1904159607464654627,30,14,output/zhihu_chaoyang/markdown/1034-外地人，因为工作原因想让孩子转学到北京，二年级，有学校接收吗？-1904159607464654627.md
北京小学转学该如何申请？,私立学校指南,0,https://www.zhihu.com/question/562478507/answer/3333652085,29,14,output/zhihu_chaoyang/markdown/805-北京小学转学该如何申请？-3333652085.md
在北京买房三环（包括三环外四环内）哪里的房好？,陈校长说房,3,https://www.zhihu.com/question/481883662/answer/2081023795,27,14,output/zhihu_chaoyang/markdown/543-在北京买房三环（包括三环外四环内）哪里的房好？-2081023795.md
三百万资金在北京，如何考虑买房问题？,知识混子,49,https://www.zhihu.com/question/26503716/answer/33074117,26,14,output/zhihu_chaoyang/markdown/1162-三百万资金在北京，如何考虑买房问题？-33074117.md
孩子目前中班，想在北京上小学，后面转天津，孩子小学学籍怎么办，有清楚的大佬支支招，谢谢。?,东城阴阳鱼,2,https://www.zhihu.com/question/525546163/answer/3269271289,26,14,output/zhihu_chaoyang/markdown/982-孩子目前中班，想在北京上小学，后面转天津，孩子小学学籍怎么办，有清楚的大佬支支招，谢谢。-3269271289.md
预算3000万，买海淀还是朝阳？,三人行,1,https://www.zhihu.com/question/10225874865/answer/1892521372518941053,25,14,output/zhihu_chaoyang/markdown/1407-预算3000万，买海淀还是朝阳？-1892521372518941053.md
有没有懂北京学区的，懂得大佬分析下，准备刚需买房?,波波,32,https://www.zhihu.com/question/630328111/answer/3291827439,21,14,output/zhihu_chaoyang/markdown/509-有没有懂北京学区的，懂得大佬分析下，准备刚需买房-3291827439.md
北京市第二实验小学怎么样？,我叫小博,3,https://www.zhihu.com/question/532705979/answer/3251462081,20,14,output/zhihu_chaoyang/markdown/868-北京市第二实验小学怎么样？-3251462081.md
北京这两年不建议买房吗？,京房于哥,0,https://www.zhihu.com/question/598252900/answer/1978432361420051117,20,14,output/zhihu_chaoyang/markdown/1219-北京这两年不建议买房吗？-1978432361420051117.md
孩子在北京西城公共户口上学好还是在朝阳或通州一般学区上学好?,拉拉,2,https://www.zhihu.com/question/534014049/answer/2867306585,19,14,output/zhihu_chaoyang/markdown/184-孩子在北京西城公共户口上学好还是在朝阳或通州一般学区上学好-2867306585.md
如何评价朝阳大悦城附近的星河实验小学？,赵航,3,https://www.zhihu.com/question/347777059/answer/1460716754,18,14,output/zhihu_chaoyang/markdown/468-如何评价朝阳大悦城附近的星河实验小学？-1460716754.md
北京首套刚需房，预算在400左右，小2居，朝阳希望有小学资源，求推荐？,土土,0,https://www.zhihu.com/question/452974022/answer/1819743111,18,14,output/zhihu_chaoyang/markdown/220-北京首套刚需房，预算在400左右，小2居，朝阳希望有小学资源，求推荐？-1819743111.md
外省到北京读初中，选择朝阳还是西城？,流沙,1,https://www.zhihu.com/question/1921620402616140772/answer/1923031466167758887,17,14,output/zhihu_chaoyang/markdown/381-外省到北京读初中，选择朝阳还是西城？-1923031466167758887.md
小升初买学区房，西城还是朝外？,搜学神器,1,https://www.zhihu.com/question/476648149/answer/2045789582,17,14,output/zhihu_chaoyang/markdown/514-小升初买学区房，西城还是朝外？-2045789582.md
2025年上小学，中关村二小、朝阳外国语、私立选哪个？,北京升学规划,2,https://www.zhihu.com/question/650252448/answer/3445219727,16,14,output/zhihu_chaoyang/markdown/511-2025年上小学，中关村二小、朝阳外国语、私立选哪个？-3445219727.md
北京哪些小学比较好？哪些小区属于「学区房」？,赵红丽,0,https://www.zhihu.com/question/57135540/answer/2696562357,16,14,output/zhihu_chaoyang/markdown/710-北京哪些小学比较好？哪些小区属于「学区房」？-2696562357.md
北京清华附中朝阳学校怎么样，是现在买西城房子让孩子在西城全区派位上中学好，还是上清朝更好求大神解答？,KDP,7,https://www.zhihu.com/question/488450107/answer/2136644117,15,14,output/zhihu_chaoyang/markdown/747-北京清华附中朝阳学校怎么样，是现在买西城房子让孩子在西城全区派位上中学好，还是上清朝更好求大神解答？-2136644117.md
在北京为什么非京籍幼升小那么难？,赵博,5,https://www.zhihu.com/question/30445372/answer/81364128,15,14,output/zhihu_chaoyang/markdown/1260-在北京为什么非京籍幼升小那么难？-81364128.md
北京朝阳有没有校规比较松而且排名不错的学校？,国际小t,0,https://www.zhihu.com/question/666018461/answer/12578232421,15,14,output/zhihu_chaoyang/markdown/559-北京朝阳有没有校规比较松而且排名不错的学校？-12578232421.md
上班地点分别为安贞和天坛附近，东城学区房怎么样？,京选置家,0,https://www.zhihu.com/question/474569171/answer/2676835327,15,14,output/zhihu_chaoyang/markdown/848-上班地点分别为安贞和天坛附近，东城学区房怎么样？-2676835327.md
求问朝阳区比较好的小学？,会飞的猪,0,https://www.zhihu.com/question/553320835/answer/3290253393,14,14,output/zhihu_chaoyang/markdown/020-求问朝阳区比较好的小学？-3290253393.md
北京朝阳区哪些学校好些？,Mango择校,0,https://www.zhihu.com/question/526267570/answer/1956292385983173057,14,14,output/zhihu_chaoyang/markdown/394-北京朝阳区哪些学校好些？-1956292385983173057.md
朝阳户口北京幼升小，我该如何选择？,尘欢,11,https://www.zhihu.com/question/379568652/answer/1079938538,13,14,output/zhihu_chaoyang/markdown/458-朝阳户口北京幼升小，我该如何选择？-1079938538.md
北京昌平区小学排名?,德白,11,https://www.zhihu.com/question/436314564/answer/1960607979,13,14,output/zhihu_chaoyang/markdown/740-北京昌平区小学排名-1960607979.md
面对北京严峻的幼升小竞争，家长如何规划孩子的学区和未来？,Cycas,8,https://www.zhihu.com/question/1981319563753854424/answer/1981803283032078035,13,14,output/zhihu_chaoyang/markdown/971-面对北京严峻的幼升小竞争，家长如何规划孩子的学区和未来？-1981803283032078035.md
北京CBD工作，首付250 - 300万，小孩不到一周岁，考虑给宝宝学区房上车，有什么建议吗？,我叫小博,1,https://www.zhihu.com/question/496134779/answer/2291060899,13,14,output/zhihu_chaoyang/markdown/839-北京CBD工作，首付250-300万，小孩不到一周岁，考虑给宝宝学区房上车，有什么建议吗？-2291060899.md
人大附中朝阳分校和人大附中朝阳学校哪个学校更好？,小鸟依人,1,https://www.zhihu.com/question/301373908/answer/2449939823,13,14,output/zhihu_chaoyang/markdown/956-人大附中朝阳分校和人大附中朝阳学校哪个学校更好？-2449939823.md
北京朝阳实验小学，放到西城是个什么水准？,任威康,0,https://www.zhihu.com/question/447582407/answer/3022174027,13,14,output/zhihu_chaoyang/markdown/045-北京朝阳实验小学，放到西城是个什么水准？-3022174027.md
朝阳第二实验小学一事你怎么看？,陶乐,294,https://www.zhihu.com/question/509379681/answer/2295154262,12,14,output/zhihu_chaoyang/markdown/502-朝阳第二实验小学一事你怎么看？-2295154262.md
朝阳第二实验小学一事你怎么看？,翘囤奶爸,114,https://www.zhihu.com/question/509379681/answer/2300517124,12,14,output/zhihu_chaoyang/markdown/810-朝阳第二实验小学一事你怎么看？-2300517124.md
在北京买学区房，选择东城还是朝阳？,京选置家,38,https://www.zhihu.com/question/442615235/answer/1712669961,12,14,output/zhihu_chaoyang/markdown/653-在北京买学区房，选择东城还是朝阳？-1712669961.md
在北京买学区房，选择东城还是朝阳？,Ciel王湾湾,3,https://www.zhihu.com/question/442615235/answer/1719776395,12,14,output/zhihu_chaoyang/markdown/725-在北京买学区房，选择东城还是朝阳？-1719776395.md
朝阳第二实验小学一事你怎么看？,同成长,3,https://www.zhihu.com/question/509379681/answer/2299944110,12,14,output/zhihu_chaoyang/markdown/912-朝阳第二实验小学一事你怎么看？-2299944110.md
北京朝阳的学区房是不是智商税？,随便看看0813,2,https://www.zhihu.com/question/419191570/answer/3530463075,12,14,output/zhihu_chaoyang/markdown/297-北京朝阳的学区房是不是智商税？-3530463075.md
学区房买北京西城东城，还是朝阳？,怪兽鱼斯拉,0,https://www.zhihu.com/question/463574027/answer/3160137334,11,14,output/zhihu_chaoyang/markdown/1006-学区房买北京西城东城，还是朝阳？-3160137334.md
北京朝阳区西坝河东里属于哪个学区?,中海韩旭东,0,https://www.zhihu.com/question/555495749/answer/2702548200,11,14,output/zhihu_chaoyang/markdown/202-北京朝阳区西坝河东里属于哪个学区-2702548200.md
北京劲松房子为什么比周围低？,知名不具的老王,55,https://www.zhihu.com/question/433200781/answer/1611928725,49,13,output/zhihu_chaoyang/markdown/284-北京劲松房子为什么比周围低？-1611928725.md
北京初中可以跨区转学吗？想了解相关政策。？,择校行,2,https://www.zhihu.com/question/446292081/answer/47682209803,40,13,output/zhihu_chaoyang/markdown/1314-北京初中可以跨区转学吗？想了解相关政策。？-47682209803.md
2022年在北京买房，600-800万预算可以买哪些小区？,居者老莫讲买房,0,https://www.zhihu.com/question/520499010/answer/2790911526,36,13,output/zhihu_chaoyang/markdown/1326-2022年在北京买房，600-800万预算可以买哪些小区？-2790911526.md
朝阳区在北京市是一种什么样的存在？,知乎用户BDWlRa,0,https://www.zhihu.com/question/31199698/answer/3149472027,33,13,output/zhihu_chaoyang/markdown/1009-朝阳区在北京市是一种什么样的存在？-3149472027.md
北京买房，总价200万以内，有什么租售比高的区域或小区推荐吗？,叭楼,2,https://www.zhihu.com/question/557564731/answer/3501007938,32,13,output/zhihu_chaoyang/markdown/1311-北京买房，总价200万以内，有什么租售比高的区域或小区推荐吗？-3501007938.md
在人大附中朝阳学校就读是怎样的一种体验？,我叫小博,5,https://www.zhihu.com/question/270728297/answer/3241010605,29,13,output/zhihu_chaoyang/markdown/459-在人大附中朝阳学校就读是怎样的一种体验？-3241010605.md
北京市九年一贯制和十二年一贯制是什么意思？,京考升学圈,1,https://www.zhihu.com/question/272032758/answer/3218930585,26,13,output/zhihu_chaoyang/markdown/1319-北京市九年一贯制和十二年一贯制是什么意思？-3218930585.md
北京首套房，海淀丰台朝阳如何选择？,原野,52,https://www.zhihu.com/question/342789224/answer/2402482831,23,13,output/zhihu_chaoyang/markdown/862-北京首套房，海淀丰台朝阳如何选择？-2402482831.md
在北京没有北京户口，没有房，孩子上学会遇到哪些问题，怎么办？,任威康,3,https://www.zhihu.com/question/276395432/answer/2017586552545486780,23,13,output/zhihu_chaoyang/markdown/382-在北京没有北京户口，没有房，孩子上学会遇到哪些问题，怎么办？-2017586552545486780.md
北京朝阳百子湾地区怎么样？,马略的骡子,8,https://www.zhihu.com/question/558863480/answer/111096914348,22,13,output/zhihu_chaoyang/markdown/112-北京朝阳百子湾地区怎么样？-111096914348.md
500万朝阳买房选哪里？,我叫小博,1,https://www.zhihu.com/question/523810659/answer/3242189174,22,13,output/zhihu_chaoyang/markdown/778-500万朝阳买房选哪里？-3242189174.md
